order_id,order_timestamp,origin_zip,destination_zip,carrier_code,item_category,distance_miles,warehouse_processing_hours,weather_score,holiday_flag,weekend_flag,historical_carrier_delay_days,actual_delivery_days
1,2024-03-06 03:40:36,58351,45634,CARRIER_E,fragile,1977.4,21.4,4.2,0,0,0.74,6.88
2,2025-07-18 23:42:35,71044,90609,CARRIER_C,standard,1725.5,71.6,7.5,0,0,0.99,8.03
3,2025-04-22 20:05:34,55549,43940,CARRIER_B,perishable,2019.5,44.7,9.3,0,0,1.42,7.02
4,2024-11-16 09:09:00,66481,63008,CARRIER_D,fragile,2835.8,34.7,9.9,1,1,2.07,10.67
5,2024-11-12 02:25:36,61904,69832,CARRIER_D,oversize,280.6,1.4,3.3,0,0,2.04,2.42
6,2025-09-18 18:38:07,16446,19823,CARRIER_B,oversize,2191.3,3.8,1.0,0,0,0.48,4.67
7,2024-03-03 17:46:03,78935,26942,CARRIER_D,oversize,1518.7,66.5,2.4,0,1,1.26,7.21
8,2025-05-24 01:53:16,26858,53031,CARRIER_E,fragile,1050.3,35.4,6.5,0,1,1.64,5.95
9,2024-05-27 01:44:46,17807,39301,CARRIER_B,standard,347.2,24.6,0.7,1,0,0.22,2.86
10,2024-03-09 17:59:13,54691,81443,CARRIER_B,perishable,2153.3,6.2,1.1,0,1,1.3,4.12
11,2025-01-19 07:54:42,63526,41158,CARRIER_B,standard,394.3,6.7,7.7,0,1,0.28,2.6
12,2025-12-13 04:54:12,37676,44873,CARRIER_D,standard,1744.1,36.4,0.5,0,1,0.02,5.98
13,2025-06-21 02:22:53,06052,17170,CARRIER_E,oversize,944.8,39.9,0.4,0,1,0.09,5.29
14,2025-07-09 15:10:03,99792,70287,CARRIER_D,perishable,841.2,61.9,4.0,0,0,2.61,5.61
15,2025-06-07 18:12:06,81302,73251,CARRIER_D,perishable,377.0,48.9,0.5,0,1,1.61,3.31
16,2025-07-27 19:50:47,49647,46221,CARRIER_E,fragile,2633.1,65.9,8.9,0,1,1.85,11.11
17,2025-01-09 15:43:46,34940,66928,CARRIER_E,fragile,1448.4,49.1,9.9,0,0,2.18,7.79
18,2024-04-03 12:33:03,88222,97313,CARRIER_B,standard,1880.4,40.2,0.2,0,0,0.07,6.08
19,2025-09-05 00:23:20,35475,40077,CARRIER_E,fragile,909.0,48.5,0.3,0,0,0.45,4.58
20,2024-11-24 18:45:41,20461,01757,CARRIER_D,oversize,1163.3,33.9,6.7,0,1,0.51,5.08
